Column,Mean,Std Dev,Shapiro-Wilk p,Z-stat,P-value,Effect Size,Power (1-β),Mann-Whitney U p,95% CI Lower,95% CI Upper
CLD003_percentage_score,70.918,8.0545,6e-06,62.259106,0.0,8.804767,1.0,,68.685447,73.150553
CLD003_functional_complexity,25.67,7.7041,0.244442,23.56074,0.0,3.331992,1.0,,23.534572,27.805428
CLD003_organization_score,0.04,0.282843,0.0,1.0,0.317311,0.141421,0.170075,,-0.038399,0.118399
CLD003_structural_integrity,9.949,0.302454,0.0,232.597341,0.0,32.894231,1.0,,9.865166,10.032834
CLD003_decisions_activities_ratio,0.1867,0.138821,0.0,9.509879,0.0,1.3449,1.0,,0.148222,0.225178
CLD003_lines_vs_average,0.58234,0.146383,0.493954,28.130134,0.0,3.978202,1.0,,0.541766,0.622914
CLD051_activities,19.12,6.935975,0.047699,19.492401,0.0,2.756642,1.0,,17.197481,21.042519
CLD051_decisions,3.62,2.108196,0.000454,12.141787,0.0,1.717108,1.0,,3.035649,4.204351
CLD051_forks,0.18,0.437526,0.0,2.90907,0.003625,0.411405,0.828717,,0.058726,0.301274
CLD051_swimlanes,0.26,0.985818,0.0,1.864926,0.062192,0.26374,0.462208,,-0.01325,0.53325
CLD051_detaches,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0
CLD051_options,0.1,0.303046,0.0,2.333333,0.019631,0.329983,0.645572,,0.016002,0.183998
CLD051_edges,0.02,0.141421,0.0,1.0,0.317311,0.141421,0.170075,,-0.019199,0.059199
CLD051_notes,0.36,0.749422,0.0,3.396732,0.000682,0.48037,0.924608,,0.152275,0.567725
CLD051_partitions,0.06,0.424264,0.0,1.0,0.317311,0.141421,0.170075,,-0.057598,0.177598
CLD051_numberline,38.86,12.750366,0.0146,21.550887,0.0,3.047756,1.0,,35.325844,42.394156
CLD051_negative_score,-0.019655,0.093972,0.0,-1.478948,0.139154,-0.209155,0.315545,,-0.045702,0.006393
CLD051_raw_score,75.3252,26.970364,0.024158,19.748699,0.0,2.792888,1.0,,67.849534,82.800866
CLD051_percentage_score,77.334,6.330574,0.12404,86.379838,0.0,12.215954,1.0,,75.579287,79.088713
CLD051_functional_complexity,36.19,13.385909,0.011771,19.117264,0.0,2.703589,1.0,,32.479684,39.900316
CLD051_organization_score,0.52,1.971636,0.0,1.864926,0.062192,0.26374,0.462208,,-0.026499,1.066499
CLD051_structural_integrity,9.9802,0.094469,0.0,747.022256,0.0,105.644901,1.0,,9.954015,10.006385
CLD051_decisions_activities_ratio,0.1888,0.082622,0.114239,16.158121,0.0,2.285103,1.0,,0.165899,0.211701
CLD051_lines_vs_average,0.83324,0.273309,0.014478,21.557631,0.0,3.048709,1.0,,0.757484,0.908996
