Column,Metric,Mean,Std Dev,Shapiro-Wilk p,Z-stat,P-value,Effect Size,Power (1-β),Mann-Whitney U p,95% CI Lower,95% CI Upper,N_all,N_intra,N_inter,Prefix_Group
GBN002,Levenshtein,0.511587,0.049231,0.289702,,,,,,0.501938,0.521236,100,100,0,GBN
GBN003,Levenshtein,0.511451,0.050269,0.932674,,,,,,0.501599,0.521303,100,100,0,GBN
GBN001,TFIDF,0.487917,0.106234,0.452038,,,,,,0.467095,0.508739,100,100,0,GBN
GBN002,TFIDF,0.476265,0.103778,0.2438,,,,,,0.455925,0.496605,100,100,0,GBN
GBN003,TFIDF,0.475222,0.106202,0.524322,,,,,,0.454407,0.496037,100,100,0,GBN
GBN001,MEAN,0.447783,0.063712,0.012362,,,,,,0.435296,0.46027,100,100,0,GBN
GBN002,MEAN,0.442071,0.056925,0.009672,,,,,,0.430914,0.453228,100,100,0,GBN
GBN003,MEAN,0.44165,0.060473,0.063541,,,,,,0.429797,0.453503,100,100,0,GBN
GBN001,Weighted,0.450292,0.065604,0.015894,,,,,,0.437434,0.46315,100,100,0,GBN
GBN002,Weighted,0.444206,0.059041,0.009423,,,,,,0.432634,0.455778,100,100,0,GBN
GBN003,Weighted,0.443752,0.062589,0.072559,,,,,,0.431485,0.456019,100,100,0,GBN
CLM001,Jaccard,0.52585,0.242182,0.0,,,,,,0.502116,0.549583,400,400,0,CLM
CLM051,Jaccard,0.400234,0.081589,0.0,,,,,,0.392239,0.40823,400,400,0,CLM
CLM091,Jaccard,0.382612,0.081292,0.0,,,,,,0.374646,0.390578,400,400,0,CLM
CLM002,Jaccard,0.529148,0.244111,0.0,,,,,,0.505226,0.55307,400,400,0,CLM
CLM052,Jaccard,0.396429,0.084354,0.000193,,,,,,0.388162,0.404696,400,400,0,CLM
CLM092,Jaccard,0.385629,0.08723,0.0,,,,,,0.377081,0.394177,400,400,0,CLM
CLM003,Jaccard,0.527089,0.242304,0.0,,,,,,0.503343,0.550834,400,400,0,CLM
CLM053,Jaccard,0.392638,0.079309,0.000129,,,,,,0.384865,0.40041,400,400,0,CLM
CLM093,Jaccard,0.3762,0.079713,0.000531,,,,,,0.368388,0.384011,400,400,0,CLM
CLM001,Levenshtein,0.664444,0.173933,0.0,,,,,,0.647399,0.68149,400,400,0,CLM
CLM051,Levenshtein,0.573081,0.067043,0.0,,,,,,0.566511,0.579651,400,400,0,CLM
CLM091,Levenshtein,0.55799,0.054973,0.0,,,,,,0.552602,0.563377,400,400,0,CLM
CLM002,Levenshtein,0.665148,0.176566,0.0,,,,,,0.647845,0.682451,400,400,0,CLM
